City Name,Zone Name,Ward Name,Ward No.,Total number of households(HH),HH part of the city sewerage network,Number of Households with toilets,Number of free public toilets-Female,Number of free public toilets-Male,Number of paid public toilets-Female,Number of paid public toilets-Male
Nagpur,Laxminagar,NA,16,17797,NA,17797,4,4,1,NA
Nagpur,Laxminagar,NA,36,14042,NA,14042,0,0,4,NA
Nagpur,Laxminagar,NA,37,12612,NA,12612,0,0,0,NA
Nagpur,Laxminagar,NA,38,9443,NA,9443,3,3,1,NA
Nagpur,Dharampeth,NA,12,11951,NA,11951,3,3,0,NA
Nagpur,Dharampeth,NA,13,15721,NA,15721,4,4,4,NA
Nagpur,Dharampeth,NA,14,12154,NA,12154,1,1,9,NA
Nagpur,Dharampeth,NA,15,12486,NA,12486,2,2,11,NA
Nagpur,Hanumannagar,NA,29,12469,NA,12469,0,0,0,NA
Nagpur,Hanumannagar,NA,31,16023,NA,16023,3,3,4,NA
Nagpur,Hanumannagar,NA,32,13742,NA,13742,0,0,0,NA
Nagpur,Hanumannagar,NA,34,13101,NA,13101,1,1,0,NA
Nagpur,Dhantoli,NA,17,14136,NA,14136,9,9,8,NA
Nagpur,Dhantoli,NA,33,16893,NA,16893,0,0,1,NA
Nagpur,Dhantoli,NA,35,12174,NA,12174,0,0,2,NA
Nagpur,Neharunagar,NA,26,12018,NA,12018,2,2,1,NA
Nagpur,Neharunagar,NA,27,16663,NA,16663,0,0,0,NA
Nagpur,Neharunagar,NA,28,11891,NA,11891,0,0,0,NA
Nagpur,Neharunagar,NA,30,12713,NA,12713,1,1,3,NA
Nagpur,Gandhibagh,NA,8,13055,NA,13055,1,1,1,NA
Nagpur,Gandhibagh,NA,18,13100,NA,13100,1,1,4,NA
Nagpur,Gandhibagh,NA,19,12983,NA,12983,2,2,5,NA
Nagpur,Gandhibagh,NA,22,13800,NA,13800,0,0,9,NA
Nagpur,Satranjipura,NA,5,13696,NA,13696,0,0,0,NA
Nagpur,Satranjipura,NA,20,13746,NA,13746,3,3,4,NA
Nagpur,Satranjipura,NA,21,16707,NA,16707,2,2,4,NA
Nagpur,Lakadganj,NA,4,12190,NA,12190,0,0,0,NA
Nagpur,Lakadganj,NA,23,17307,NA,17307,0,0,0,NA
Nagpur,Lakadganj,NA,24,12346,NA,12346,12,12,1,NA
Nagpur,Lakadganj,NA,25,13215,NA,13215,2,2,0,NA
Nagpur,Ashinagar,NA,2,13893,NA,13893,2,2,3,NA
Nagpur,Ashinagar,NA,3,12874,NA,12874,1,1,1,NA
Nagpur,Ashinagar,NA,6,13555,NA,13555,0,0,2,NA
Nagpur,Ashinagar,NA,7,14815,NA,14815,4,4,5,NA
Nagpur,Mangalwari,NA,1,13958,NA,13958,2,2,4,NA
Nagpur,Mangalwari,NA,9,11805,NA,11805,2,2,5,NA
Nagpur,Mangalwari,NA,10,11852,NA,11852,0,0,1,NA
Nagpur,Mangalwari,NA,11,14230,NA,14230,5,5,1,NA
